,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max
drive_gear_V_eff,1.0,-0.06565080623310204,0.8536523190821552,-0.23775044849881952,0.30975569535454645,0.3598762531252194,0.5936245789646789,0.37571356543239565,0.6832236801072449,-0.4747644036867729,0.848238483038805,0.03364635138536341
drive_gear_a_max,-0.06565080623310204,1.0,0.04238521849307976,0.08740989061394007,0.2940831844657876,0.19695421510272407,0.13358225186796233,0.05523197116973138,0.09484692631913812,-0.11380520039163679,0.032214141884782124,-0.22020780479556662
drive_motor_V_eff,0.8536523190821552,0.04238521849307976,1.0,-0.3654336102633515,0.5885545518464512,0.5653675417649159,0.8019630247447953,0.5593722518743384,0.7568572617858632,-0.6141032767079955,0.7807851459115198,-0.2808822983183907
drive_motor_a_max,-0.23775044849881952,0.08740989061394007,-0.3654336102633515,1.0,-0.4136697589624141,-0.31869811663949077,-0.4369889908460492,-0.38569408480851547,-0.356284998703061,0.32873902157805757,-0.2535766498103737,0.24003940487973852
drive_wheel_V_eff,0.30975569535454645,0.2940831844657876,0.5885545518464512,-0.4136697589624141,1.0,0.7436038247403489,0.8345782115743455,0.6402711919810047,0.746006444556345,-0.742136076064023,0.5120263598687383,-0.7523961460068326
drive_wheel_a_max,0.3598762531252194,0.19695421510272407,0.5653675417649159,-0.31869811663949077,0.7436038247403489,1.0,0.7395866775400641,0.6294782346565091,0.6461448881808277,-0.6388433251109424,0.43833181892967343,-0.637895353109002
idle_wheel_V_eff,0.5936245789646789,0.13358225186796233,0.8019630247447953,-0.4369889908460492,0.8345782115743455,0.7395866775400641,1.0,0.6769244928430613,0.8436441991672808,-0.8248366439672112,0.6596079347368958,-0.6905156183402669
idle_wheel_a_max,0.37571356543239565,0.05523197116973138,0.5593722518743384,-0.38569408480851547,0.6402711919810047,0.6294782346565091,0.6769244928430613,1.0,0.5899769935757738,-0.5325974369157728,0.43926626713877853,-0.44878389659116014
lifting_gear_V_eff,0.6832236801072449,0.09484692631913812,0.7568572617858632,-0.356284998703061,0.746006444556345,0.6461448881808277,0.8436441991672808,0.5899769935757738,1.0,-0.8790418743323687,0.872584539444605,-0.5953519322335589
lifting_gear_a_max,-0.4747644036867729,-0.11380520039163679,-0.6141032767079955,0.32873902157805757,-0.742136076064023,-0.6388433251109424,-0.8248366439672112,-0.5325974369157728,-0.8790418743323687,1.0,-0.686532527402706,0.7847275722337489
lifting_motor_V_eff,0.848238483038805,0.032214141884782124,0.7807851459115198,-0.2535766498103737,0.5120263598687383,0.43833181892967343,0.6596079347368958,0.43926626713877853,0.872584539444605,-0.686532527402706,1.0,-0.22791716004819582
lifting_motor_a_max,0.03364635138536341,-0.22020780479556662,-0.2808822983183907,0.24003940487973852,-0.7523961460068326,-0.637895353109002,-0.6905156183402669,-0.44878389659116014,-0.5953519322335589,0.7847275722337489,-0.22791716004819582,1.0
