machine_name,date_measurement_f,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max,cluster
RBG1,2016-09-02,1.6163999999999998,1334.4814999999999,4.0606,1231.5055,2.906,1317.3656,3.5010000000000003,1981.3613999999998,1.354,952.5795,2.206,1340.079,2.0
RBG1,2016-09-06,1.9335,1384.7759999999998,4.4062,1243.5176000000001,2.978,1286.132,3.7398000000000002,1970.8239999999998,1.607,3121.5405,2.414,1707.4015,2.0
RBG1,2016-09-07,1.8736,1350.5539999999999,4.4623,1215.5945000000002,3.062,1379.034,3.798,2020.198,1.6230000000000002,2637.652,2.443,1694.792,2.0
RBG1,2016-09-08,2.0120999999999998,1329.8515000000002,4.416600000000001,1216.1105,3.026,1429.3394,3.699,2060.6052,1.663,2731.8062,2.419,1604.5048,2.0
RBG1,2016-09-09,2.006,1596.2395999999999,4.4298,1479.9647999999997,3.0766,1360.0664,3.7855,2125.667,1.6440000000000001,2238.5361,2.444,1464.9028,2.0
RBG1,2016-09-12,1.8234000000000001,1318.6004,4.4961,1235.7055,3.04,1521.741,3.7039999999999997,2137.274,1.61,2593.9425,2.4330000000000003,1435.4252000000001,2.0
RBG1,2016-09-13,2.0192,1673.6005,4.4976,1276.9955,3.0760000000000005,1408.4899000000003,3.7549999999999994,2092.6962000000003,1.6343,1926.7993000000004,2.4329000000000005,1660.7051999999999,2.0
RBG1,2016-09-14,1.9023999999999999,1494.7375000000002,4.5294,1438.256,3.095,1338.8034000000002,3.748,2100.6632,1.619,2793.832,2.457,1540.38,2.0
RBG1,2016-09-15,1.8433000000000002,1420.0085,4.498200000000001,1249.2725,3.12,1518.6264999999999,3.77,2113.6980000000003,1.626,2459.2225,2.42,1810.452,2.0
RBG1,2016-09-16,1.8832,1446.19,4.4598,1229.0004999999999,3.083,1355.3282,3.7289999999999996,2070.2896,1.575,2923.7250000000004,2.405,1661.5230000000001,2.0
RBG1,2016-09-19,1.9610999999999998,1454.271,4.497,1418.8855,3.09,1273.2375,3.7880000000000003,2145.1118,1.6130000000000002,2868.9145,2.37,1711.5865000000001,2.0
RBG1,2016-09-20,1.8298999999999999,1375.4475,4.4335,1277.938,3.0469999999999997,1325.2958,3.675,2139.0278000000003,1.6540000000000001,2013.7795,2.396,1808.854,2.0
RBG1,2016-09-21,1.8486,1333.2518,4.4537,1200.5925000000002,3.045,1400.0804,3.696,2147.5646,1.626,3030.523,2.417,1640.8298,2.0
RBG1,2016-09-22,1.8323999999999998,1258.8068,4.4031,1123.9632000000001,3.0580000000000003,1336.5956,3.762,2159.4578,1.608,2510.951,2.391,1662.924,2.0
RBG1,2016-09-23,1.8241,1102.592,4.3130999999999995,1076.4985000000001,3.005,1267.355,3.676,2081.714,1.568,2004.581,2.34,1319.5255000000002,2.0
RBG1,2016-09-26,1.7985000000000002,1297.135,4.452700000000001,1197.866,3.0439999999999996,1315.7441,3.7110000000000003,2116.5726000000004,1.661,2223.6305,2.415,1592.3315000000002,2.0
RBG1,2016-09-27,1.8414000000000001,1311.8337999999999,4.453800000000001,1278.7984999999999,3.0980000000000003,1283.552,3.708,2130.611,1.605,2057.6885,2.384,1489.416,2.0
RBG1,2016-09-28,1.9807000000000001,1374.4979999999998,4.6121,1369.473,3.0839999999999996,1336.7958,3.766,2173.7032,1.656,3219.8019999999997,2.408,1565.7075,2.0
RBG1,2016-09-29,1.8898000000000001,1658.5124,4.6587000000000005,1433.3358,3.034,1341.5925000000002,3.7239999999999998,2130.8005000000003,1.601,2743.3422,2.408,1635.3645000000001,2.0
RBG1,2016-09-30,1.8501,1566.2181999999998,4.6831,1429.1405,3.0189999999999997,1333.4524999999999,3.675,2188.076,1.6369999999999998,2867.566,2.399,1817.1215000000002,2.0
RBG1,2016-10-01,1.7536,1257.2346,4.5721,1262.0794,3.125,1297.2081,3.7346,2047.0080000000003,1.6255,3105.661,2.418,1646.1930000000002,2.0
RBG1,2016-10-04,1.8296999999999999,1324.6644999999999,4.5241,1318.998,2.991,1250.896,3.718,1949.2925999999998,1.6440000000000001,3200.9812,2.363,1582.6417999999999,2.0
RBG1,2016-10-05,1.9949999999999999,1409.0859999999998,4.6868,1450.5119999999997,3.056,1281.2385,3.752,2142.358,1.675,2156.7605000000003,2.354,1484.364,2.0
RBG1,2016-10-06,1.9061000000000001,1379.402,4.5485,1331.8056,2.9989999999999997,1257.0572,3.695,1936.7066000000002,1.646,2912.9716,2.4130000000000003,1517.9416,2.0
RBG1,2016-10-07,1.9123,1530.1645000000003,4.713500000000001,1392.8410000000001,3.1039999999999996,1282.3115,3.7028000000000003,2129.414,1.608,2658.718,2.4332000000000003,1651.9434999999999,2.0
RBG1,2016-10-10,1.8656000000000001,1319.8554000000001,4.520899999999999,1399.1976,3.136,1300.315,3.727,2092.3962,1.672,2142.8455,2.437,1410.573,2.0
RBG1,2016-10-11,1.7209999999999999,1062.1435000000001,4.4285,1142.333,2.9760000000000004,1213.4714,3.728,1866.9726,1.643,2463.566,2.38,1439.859,2.0
RBG1,2016-10-12,1.8912,1410.567,4.828,1326.0729999999999,3.0289,1286.7923,3.7085999999999997,1932.1082000000004,1.6740000000000002,1925.843,2.4459999999999997,1546.042,2.0
RBG1,2016-10-13,1.6954,1227.8222,4.5246,1254.4476,3.033,1204.3265000000001,3.67,1901.8154,1.575,1901.842,2.392,1409.797,2.0
RBG1,2016-10-14,1.7486,1278.9144000000001,4.561,1202.151,2.9989999999999997,1237.0990000000002,3.73,2069.3455,1.5759999999999998,2506.656,2.4090000000000003,1475.1462000000001,2.0
RBG1,2016-10-17,1.8698000000000001,1486.6385,4.8586,1403.025,2.9610000000000003,1242.1995,3.702,1984.5186,1.651,1646.824,2.419,1518.8335,2.0
RBG1,2016-10-18,1.7691,1361.3825000000002,4.8185,1304.1535,2.9760000000000004,1182.2185,3.718,1936.2585,1.6030000000000002,2473.9332,2.4219999999999997,1522.3564,2.0
RBG1,2016-10-19,1.8105,1734.8908000000001,4.8747,1437.6722000000002,2.986,1204.768,3.6830000000000003,1955.0755,1.618,2415.4575,2.4419999999999997,1680.455,2.0
RBG1,2016-10-20,1.8706,1309.965,4.862,1333.9260000000002,2.9419999999999997,1209.2975000000001,3.716,1913.94,1.6,2728.2235,2.426,1527.1325000000002,2.0
RBG1,2016-10-21,1.8319,1317.9845,4.7361,1278.4275,2.957,1214.2205,3.694,1761.0545,1.64,2689.4044000000004,2.397,1616.5162,2.0
