machine_name,sensor_type,date_measurement_f,number_of_observations,1,2,3,4,5,6,7,8
RBG1,drive_gear_V_eff,2016-09-02,2,1.258,1.62,,,,,,
RBG1,drive_gear_V_eff,2016-09-06,5,1.7169999999999999,1.702,1.88,1.956,1.831,,,
RBG1,drive_gear_V_eff,2016-09-07,5,1.767,1.743,1.736,1.8969999999999998,1.874,,,
RBG1,drive_gear_V_eff,2016-09-08,4,1.8780000000000001,1.757,1.913,2.013,,,,
RBG1,drive_gear_V_eff,2016-09-09,7,2.06,1.9709999999999999,1.874,1.828,1.83,1.876,1.844,
RBG1,drive_gear_V_eff,2016-09-12,5,1.771,1.827,1.8519999999999999,1.743,1.706,,,
RBG1,drive_gear_V_eff,2016-09-13,4,1.777,2.044,1.969,1.8719999999999999,,,,
RBG1,drive_gear_V_eff,2016-09-14,4,1.86,1.9169999999999998,1.96,1.8019999999999998,,,,
RBG1,drive_gear_V_eff,2016-09-15,5,1.788,1.696,1.771,1.8459999999999999,1.844,,,
RBG1,drive_gear_V_eff,2016-09-16,2,1.7169999999999999,1.8940000000000001,,,,,,
RBG1,drive_gear_V_eff,2016-09-19,3,1.915,1.902,1.9980000000000002,,,,,
RBG1,drive_gear_V_eff,2016-09-20,3,1.838,1.841,1.83,,,,,
RBG1,drive_gear_V_eff,2016-09-21,4,1.7630000000000001,1.7919999999999998,1.841,1.854,,,,
RBG1,drive_gear_V_eff,2016-09-22,3,1.825,1.775,1.845,,,,,
RBG1,drive_gear_V_eff,2016-09-23,1,1.861,,,,,,,
RBG1,drive_gear_V_eff,2016-09-26,5,1.706,1.706,1.7990000000000002,1.848,1.788,,,
RBG1,drive_gear_V_eff,2016-09-27,3,1.765,1.8019999999999998,1.8719999999999999,,,,,
RBG1,drive_gear_V_eff,2016-09-28,6,1.919,1.881,1.838,1.9669999999999999,1.996,1.982,,
RBG1,drive_gear_V_eff,2016-09-29,4,1.857,1.7930000000000001,1.8969999999999998,1.906,,,,
RBG1,drive_gear_V_eff,2016-09-30,4,1.869,1.8630000000000002,1.761,1.788,,,,
RBG1,drive_gear_V_eff,2016-10-01,3,1.71,1.669,1.776,,,,,
RBG1,drive_gear_V_eff,2016-10-04,4,1.7380000000000002,1.8630000000000002,1.824,1.819,,,,
RBG1,drive_gear_V_eff,2016-10-05,3,1.8090000000000002,1.825,2.004,,,,,
RBG1,drive_gear_V_eff,2016-10-06,4,1.8969999999999998,1.7619999999999998,1.834,1.9340000000000002,,,,
RBG1,drive_gear_V_eff,2016-10-07,4,1.9509999999999998,1.7790000000000001,1.899,1.7919999999999998,,,,
RBG1,drive_gear_V_eff,2016-10-10,3,1.889,1.751,1.7530000000000001,,,,,
RBG1,drive_gear_V_eff,2016-10-11,1,1.73,,,,,,,
RBG1,drive_gear_V_eff,2016-10-12,4,1.732,1.834,1.92,1.8619999999999999,,,,
RBG1,drive_gear_V_eff,2016-10-13,2,1.76,1.61,,,,,,
RBG1,drive_gear_V_eff,2016-10-14,3,1.6059999999999999,1.7719999999999998,1.746,,,,,
RBG1,drive_gear_V_eff,2016-10-17,5,1.841,1.7619999999999998,1.8880000000000001,1.8419999999999999,1.831,,,
RBG1,drive_gear_V_eff,2016-10-18,5,1.788,1.699,1.679,1.7280000000000002,1.754,,,
RBG1,drive_gear_V_eff,2016-10-19,5,1.8159999999999998,1.815,1.797,1.744,1.7730000000000001,,,
RBG1,drive_gear_V_eff,2016-10-20,3,1.796,1.749,1.885,,,,,
RBG1,drive_gear_V_eff,2016-10-21,4,1.867,1.757,1.767,1.736,,,,
RBG1,drive_gear_V_eff,2016-10-24,2,1.725,1.725,,,,,,
RBG1,drive_gear_V_eff,2016-10-25,4,1.7730000000000001,1.8730000000000002,1.98,1.91,,,,
RBG1,drive_gear_V_eff,2016-10-26,3,1.979,1.8219999999999998,1.796,,,,,
RBG1,drive_gear_V_eff,2016-10-27,4,1.8090000000000002,1.7530000000000001,1.7790000000000001,1.8159999999999998,,,,
RBG1,drive_gear_V_eff,2016-10-28,3,1.855,1.821,1.794,,,,,
RBG1,drive_gear_V_eff,2016-10-31,6,1.7469999999999999,1.683,1.699,1.768,1.88,1.949,,
RBG1,drive_gear_V_eff,2016-11-02,5,1.8219999999999998,1.739,1.8159999999999998,1.83,1.8330000000000002,,,
RBG1,drive_gear_V_eff,2016-11-03,3,1.8419999999999999,1.757,1.794,,,,,
RBG1,drive_gear_V_eff,2016-11-04,6,1.845,1.81,1.827,1.7519999999999998,1.754,1.811,,
RBG1,drive_gear_V_eff,2016-11-07,4,1.8459999999999999,1.7309999999999999,1.8840000000000001,1.861,,,,
RBG1,drive_gear_V_eff,2016-11-08,3,1.819,1.77,1.7530000000000001,,,,,
RBG1,drive_gear_V_eff,2016-11-09,3,1.78,1.7269999999999999,1.778,,,,,
RBG1,drive_gear_V_eff,2016-11-10,3,1.715,1.67,1.712,,,,,
RBG1,drive_gear_V_eff,2016-11-11,4,1.798,1.876,1.8319999999999999,1.819,,,,
RBG1,drive_gear_V_eff,2016-11-14,1,1.725,,,,,,,
RBG1,drive_gear_V_eff,2016-11-15,2,1.777,1.75,,,,,,
RBG1,drive_gear_V_eff,2016-11-16,2,1.81,1.7080000000000002,,,,,,
RBG1,drive_gear_V_eff,2016-11-17,2,1.84,1.7530000000000001,,,,,,
RBG1,drive_gear_V_eff,2016-11-18,2,1.838,1.819,,,,,,
RBG1,drive_gear_V_eff,2016-11-21,4,1.857,1.74,1.702,1.7280000000000002,,,,
RBG1,drive_gear_V_eff,2016-11-22,3,1.754,1.68,1.722,,,,,
RBG1,drive_gear_V_eff,2016-11-23,2,1.768,1.8219999999999998,,,,,,
RBG1,drive_gear_V_eff,2016-11-24,1,1.739,,,,,,,
RBG1,drive_gear_V_eff,2016-11-25,4,1.706,1.77,1.9169999999999998,1.8459999999999999,,,,
RBG1,drive_gear_V_eff,2016-11-28,4,1.776,1.811,1.875,1.857,,,,
RBG1,drive_gear_V_eff,2016-11-29,2,1.84,1.777,,,,,,
RBG1,drive_gear_V_eff,2016-11-30,3,1.781,1.788,1.8019999999999998,,,,,
RBG1,drive_gear_V_eff,2016-12-01,1,1.76,,,,,,,
RBG1,drive_gear_V_eff,2016-12-02,1,1.7890000000000001,,,,,,,
RBG1,drive_gear_V_eff,2016-12-05,2,1.869,1.8159999999999998,,,,,,
RBG1,drive_gear_V_eff,2016-12-06,1,1.912,,,,,,,
RBG1,drive_gear_V_eff,2016-12-07,5,1.713,1.767,1.764,1.8019999999999998,1.83,,,
RBG1,drive_gear_V_eff,2016-12-08,3,1.824,1.7269999999999999,1.8119999999999998,,,,,
RBG1,drive_gear_V_eff,2016-12-09,2,1.848,1.944,,,,,,
RBG1,drive_gear_V_eff,2016-12-12,3,1.9609999999999999,2.097,2.026,,,,,
RBG1,drive_gear_V_eff,2016-12-14,1,2.16,,,,,,,
RBG1,drive_gear_V_eff,2016-12-15,5,2.158,2.1430000000000002,2.142,2.2,2.228,,,
RBG1,drive_gear_V_eff,2016-12-16,2,2.2159999999999997,2.076,,,,,,
RBG1,drive_gear_V_eff,2016-12-17,4,2.1790000000000003,1.922,2.096,2.129,,,,
RBG1,drive_gear_V_eff,2016-12-19,4,2.217,2.053,2.065,2.036,,,,
RBG1,drive_gear_V_eff,2016-12-20,3,1.99,2.0,2.036,,,,,
RBG1,drive_gear_V_eff,2016-12-21,3,2.125,2.293,2.092,,,,,
RBG1,drive_gear_V_eff,2016-12-22,4,2.157,1.723,2.06,2.208,,,,
RBG1,drive_gear_V_eff,2016-12-23,2,2.155,2.1,,,,,,
RBG1,drive_gear_V_eff,2016-12-27,3,1.97,1.976,2.057,,,,,
RBG1,drive_gear_V_eff,2016-12-28,3,2.068,2.001,2.1590000000000003,,,,,
RBG1,drive_gear_V_eff,2016-12-29,4,2.115,2.174,2.0669999999999997,2.233,,,,
RBG1,drive_gear_V_eff,2016-12-30,3,2.169,2.1180000000000003,2.299,,,,,
RBG1,drive_gear_V_eff,2017-01-02,4,2.12,2.001,2.137,2.0780000000000003,,,,
RBG1,drive_gear_V_eff,2017-01-03,3,1.96,2.036,2.096,,,,,
RBG1,drive_gear_V_eff,2017-01-04,2,1.9669999999999999,2.074,,,,,,
RBG1,drive_gear_V_eff,2017-01-05,4,2.156,2.1919999999999997,2.24,2.06,,,,
RBG1,drive_gear_V_eff,2017-01-09,3,2.115,1.945,1.999,,,,,
RBG1,drive_gear_V_eff,2017-01-10,3,2.013,2.009,2.022,,,,,
RBG1,drive_gear_V_eff,2017-01-11,3,2.052,2.138,2.104,,,,,
RBG1,drive_gear_V_eff,2017-01-12,1,2.0669999999999997,,,,,,,
RBG1,drive_gear_V_eff,2017-01-13,2,2.15,2.184,,,,,,
RBG1,drive_gear_V_eff,2017-01-16,1,2.103,,,,,,,
RBG1,drive_gear_V_eff,2017-01-17,3,2.063,1.984,1.933,,,,,
RBG1,drive_gear_V_eff,2017-01-18,2,1.916,1.9709999999999999,,,,,,
RBG1,drive_gear_V_eff,2017-01-19,2,2.102,2.153,,,,,,
RBG1,drive_gear_V_eff,2017-01-20,2,2.135,2.117,,,,,,
RBG1,drive_gear_V_eff,2017-01-23,1,1.9609999999999999,,,,,,,
RBG1,drive_gear_V_eff,2017-01-24,2,1.982,1.8969999999999998,,,,,,
RBG1,drive_gear_V_eff,2017-01-25,1,1.975,,,,,,,
RBG1,drive_gear_V_eff,2017-01-26,1,1.969,,,,,,,
RBG1,drive_gear_V_eff,2017-01-27,1,1.8419999999999999,,,,,,,
RBG1,drive_gear_V_eff,2017-01-30,1,1.834,,,,,,,
RBG1,drive_gear_V_eff,2017-01-31,3,1.943,1.916,2.0580000000000003,,,,,
RBG1,drive_gear_V_eff,2017-02-01,2,2.075,1.9909999999999999,,,,,,
RBG1,drive_gear_V_eff,2017-02-02,1,1.875,,,,,,,
RBG1,drive_gear_V_eff,2017-02-06,2,1.919,1.86,,,,,,
RBG1,drive_gear_V_eff,2017-02-07,3,1.925,2.069,2.142,,,,,
RBG1,drive_gear_V_eff,2017-02-08,3,2.2230000000000003,2.318,2.4219999999999997,,,,,
RBG1,drive_gear_V_eff,2017-09-14,3,2.319,2.385,2.463,,,,,
RBG1,drive_gear_V_eff,2017-09-15,2,2.1790000000000003,2.476,,,,,,
RBG1,drive_gear_V_eff,2017-09-16,3,2.4619999999999997,1.87,1.827,,,,,
RBG1,drive_gear_V_eff,2017-09-17,3,1.79,1.7280000000000002,1.755,,,,,
RBG1,drive_gear_V_eff,2017-09-18,4,1.906,2.34,2.4419999999999997,2.4330000000000003,,,,
RBG1,drive_gear_V_eff,2017-09-19,4,2.381,1.989,1.915,2.379,,,,
RBG1,drive_gear_V_eff,2017-09-20,3,2.463,2.176,2.256,,,,,
RBG1,drive_gear_V_eff,2017-09-21,3,2.3169999999999997,2.261,2.362,,,,,
RBG1,drive_gear_V_eff,2017-09-22,2,2.516,2.113,,,,,,
RBG1,drive_gear_V_eff,2017-09-23,3,2.01,1.989,1.9869999999999999,,,,,
RBG1,drive_gear_V_eff,2017-09-24,3,1.919,1.8730000000000002,1.9409999999999998,,,,,
RBG1,drive_gear_V_eff,2017-09-25,4,1.9769999999999999,2.256,2.3609999999999998,2.404,,,,
RBG1,drive_gear_V_eff,2017-09-26,3,2.259,2.121,2.099,,,,,
RBG1,drive_gear_V_eff,2017-09-27,3,2.149,2.128,2.225,,,,,
RBG1,drive_gear_V_eff,2017-09-28,4,2.237,2.181,2.283,2.2159999999999997,,,,
RBG1,drive_gear_V_eff,2017-09-29,3,2.146,2.101,2.227,,,,,
RBG1,drive_gear_V_eff,2017-09-30,3,1.923,2.135,2.1590000000000003,,,,,
RBG1,drive_gear_V_eff,2017-10-01,3,1.7519999999999998,1.735,1.705,,,,,
RBG1,drive_gear_V_eff,2017-10-02,3,1.851,2.267,2.352,,,,,
RBG1,drive_gear_V_eff,2017-10-03,3,2.11,1.8119999999999998,1.767,,,,,
RBG1,drive_gear_V_eff,2017-10-04,3,1.712,1.6269999999999998,1.756,,,,,
RBG1,drive_gear_V_eff,2017-10-05,4,1.4380000000000002,1.6469999999999998,1.719,1.713,,,,
RBG1,drive_gear_V_eff,2017-10-06,3,1.755,1.751,1.713,,,,,
RBG1,drive_gear_V_eff,2017-10-07,3,1.76,1.621,1.696,,,,,
RBG1,drive_gear_V_eff,2017-10-08,3,1.6569999999999998,1.639,1.676,,,,,
RBG1,drive_gear_V_eff,2017-10-09,3,1.626,1.597,1.7719999999999998,,,,,
RBG1,drive_gear_V_eff,2017-10-10,4,1.6980000000000002,1.651,1.732,1.73,,,,
RBG1,drive_gear_V_eff,2017-10-11,3,1.751,1.672,1.806,,,,,
RBG1,drive_gear_V_eff,2017-10-12,3,1.705,1.716,1.715,,,,,
RBG1,drive_gear_V_eff,2017-10-13,3,1.686,1.556,1.633,,,,,
RBG1,drive_gear_V_eff,2017-10-14,3,1.743,1.6059999999999999,1.689,,,,,
RBG1,drive_gear_V_eff,2017-10-15,3,1.537,1.535,1.5730000000000002,,,,,
RBG1,drive_gear_V_eff,2017-10-16,3,1.5619999999999998,1.652,1.76,,,,,
RBG1,drive_gear_V_eff,2017-10-17,3,1.588,1.579,1.675,,,,,
RBG1,drive_gear_V_eff,2017-10-18,3,1.659,1.633,1.6980000000000002,,,,,
RBG1,drive_gear_V_eff,2017-10-19,3,1.7530000000000001,1.57,1.686,,,,,
RBG1,drive_gear_V_eff,2017-10-20,3,1.7380000000000002,1.6780000000000002,1.797,,,,,
RBG1,drive_gear_V_eff,2017-10-21,3,1.7309999999999999,1.635,1.735,,,,,
RBG1,drive_gear_V_eff,2017-10-22,3,1.5619999999999998,1.557,1.557,,,,,
RBG1,drive_gear_V_eff,2017-10-23,4,1.6480000000000001,1.725,1.776,1.692,,,,
RBG1,drive_gear_V_eff,2017-10-24,4,1.704,1.526,1.577,1.6840000000000002,,,,
RBG1,drive_gear_V_eff,2017-10-25,3,1.736,1.6769999999999998,1.67,,,,,
RBG1,drive_gear_V_eff,2017-10-26,3,1.745,1.652,1.694,,,,,
RBG1,drive_gear_V_eff,2017-10-27,3,1.702,1.6909999999999998,1.7519999999999998,,,,,
RBG1,drive_gear_V_eff,2017-10-28,3,1.725,1.571,1.66,,,,,
RBG1,drive_gear_V_eff,2017-10-29,3,1.6580000000000001,1.6,1.5659999999999998,,,,,
RBG1,drive_gear_V_eff,2017-10-30,3,1.5719999999999998,1.653,1.6680000000000001,,,,,
RBG1,drive_gear_V_eff,2017-11-02,3,1.739,1.631,1.746,,,,,
RBG1,drive_gear_V_eff,2017-11-03,3,1.726,1.6369999999999998,1.7009999999999998,,,,,
RBG1,drive_gear_V_eff,2017-11-04,3,1.686,1.6119999999999999,1.77,,,,,
RBG1,drive_gear_V_eff,2017-11-05,3,1.642,1.57,1.591,,,,,
RBG1,drive_gear_V_eff,2017-11-06,4,1.5,1.588,1.7080000000000002,1.725,,,,
RBG1,drive_gear_V_eff,2017-11-07,3,1.6969999999999998,1.608,1.655,,,,,
RBG1,drive_gear_V_eff,2017-11-08,3,1.685,1.675,1.8030000000000002,,,,,
RBG1,drive_gear_V_eff,2017-11-09,4,1.742,1.6669999999999998,1.778,1.742,,,,
RBG1,drive_gear_V_eff,2017-11-10,3,1.733,1.7280000000000002,1.7630000000000001,,,,,
RBG1,drive_gear_V_eff,2017-11-11,3,1.7590000000000001,1.631,1.7169999999999999,,,,,
RBG1,drive_gear_V_eff,2017-11-12,3,1.653,1.61,1.6340000000000001,,,,,
RBG1,drive_gear_V_eff,2017-11-13,3,1.594,1.6840000000000002,1.732,,,,,
RBG1,drive_gear_V_eff,2017-11-14,3,1.7719999999999998,1.6130000000000002,1.6369999999999998,,,,,
RBG1,drive_gear_V_eff,2017-11-15,4,1.755,1.735,1.6969999999999998,1.801,,,,
RBG1,drive_gear_V_eff,2017-11-16,4,1.786,1.7530000000000001,1.766,1.757,,,,
